ID;Star1
1;Emilia Clarke
2;Peter Dinklage
3;Kit Harington
4;Lena Headey
5;Bryan Cranston
6;Aaron Paul
7;Anna Gunn
8;Betsy Brandt
9;Andrew Lincoln
10;Norman Reedus
11;Melissa McBride
12;Danai Gurira
13;Jennifer Aniston
14;Courteney Cox
15;Lisa Kudrow
16;Matt LeBlanc
17;Millie Bobby Brown
18;Finn Wolfhard
19;Winona Ryder
20;David Harbour
21;Benedict Cumberbatch
22;Martin Freeman
23;Una Stubbs
24;Rupert Graves
25;Johnny Galecki
26;Jim Parsons
27;Kaley Cuoco
28;Simon Helberg
29;Michael C. Hall
30;Jennifer Carpenter
31;David Zayas
32;James Remar
33;Josh Radnor
34;Jason Segel
35;Cobie Smulders
36;Neil Patrick Harris
37;Vince Vaughn
38;Colin Farrell
39;Rachel McAdams
40;Taylor Kitsch
41;Jorge Garcia
42;Josh Holloway
43;Yunjin Kim
44;Evangeline Lilly
45;Dominic Purcell
46;Wentworth Miller
47;Amaury Nolasco
48;Robert Knepper
49;Kevin Spacey
50;Michel Gill
51;Robin Wright
52;Kate Mara
53;Daniel Lapaine
54;Hannah John-Kamen
55;Michaela Coel
56;Beatrice Robertson-Jones
57;Katheryn Winnick
58;Gustaf Skarsgayrd
59;Alexander Ludwig
60;Georgia Hirst
61;Evan Rachel Wood
62;Jeffrey Wright
63;Ed Harris
64;Thandie Newton
65;Steve Carell
66;Jenna Fischer
67;John Krasinski
68;Rainn Wilson
69;Hugh Laurie
70;Omar Epps
71;Robert Sean Leonard
72;Jesse Spencer
73;Stephen Amell
74;Katie Cassidy
75;David Ramsey
76;Susanna Thompson
77;Jared Padalecki
78;Jensen Ackles
79;Jim Beaver
80;Misha Collins
81;Justin Roiland
82;Chris Parnell
83;Spencer Grammer
84;Sarah Chalke
85;Dan Castellaneta
86;Nancy Cartwright
87;Harry Shearer
88;Julie Kavner
89;Gabriel Macht
90;Patrick J. Adams
91;Meghan Markle
92;Sarah Rafferty
93;Charlie Cox
94;Vincent DOnofrio
95;Deborah Ann Woll
96;Elden Henson
97;Pedro Pascal
98;Wagner Moura
99;Boyd Holbrook
100;Alberto Ammann
101;Ed ONeill
102;Sofia Vergara
103;Julie Bowen
104;Ty Burrell
105;Cillian Murphy
106;Paul Anderson
107;Helen McCrory
108;Sophie Rundle
109;Rami Malek
110;Christian Slater
111;Carly Chaikin
112;Martin Wallstram
113;Trey Parker
114;Matt Stone
115;Isaac Hayes
116;Mona Marshall
117;Billy Bob Thornton
118;Allison Tolman
119;Colin Hanks
120;Bob Odenkirk
121;Rhea Seehorn
122;Jonathan Banks
123;Patrick Fabian
124;Claire Danes
125;Mandy Patinkin
126;Damian Lewis
127;Rupert Friend
128;Grant Gustin
129;Candice Patton
130;Danielle Panabaker
131;Carlos Valdes
132;Seth MacFarlane
133;Alex Borstein
134;Seth Green
135;Mila Kunis
136;James Gandolfini
137;Lorraine Bracco
138;Edie Falco
139;Michael Imperioli
140;Henry Cavill
141;Freya Allan
142;Yasen Atour
143;Basil Eidenbenz
144;šrsula Corber
145;lvaro Morte
146;Itziar Itu±o
147;Pedro Alonso
148;Gina Carano
149;Giancarlo Esposito
150;Chris Bartlett
151;Dominic West
152;Lance Reddick
153;Sonja Sohn
154;Wendell Pierce
155;Louis Hofmann
156;Karoline Eichhorn
157;Lisa Vicari
158;Maja Schne
159;Nina Dobrev
160;Paul Wesley
161;Ian Somerhalder
162;Kat Graham
163;Taylor Schilling
164;Danielle Brooks
165;Taryn Manning
166;Emma Myles
167;Lady Gaga
168;Kathy Bates
169;Angela Bassett
170;Sarah Paulson
171;Jason Bateman
172;Michael Cera
173;Portia de Rossi
174;Will Arnett
175;Charlie Hunnam
176;Katey Sagal
177;Mark Boone Junior
178;Kim Coates
179;Dylan Minnette
180;Katherine Langford
181;Christian Navarro
182;Alisha Boe
183;Jerry Seinfeld
184;Julia Louis-Dreyfus
185;Michael Richards
186;Jason Alexander
187;Ellen Pompeo
188;Chandra Wilson
189;James Pickens Jr.
190;Justin Chambers
191;Dee Bradley Baker
192;Zach Tyler
193;Mae Whitman
194;Jack De Sena
195;Karl Urban
196;Jack Quaid
197;Antony Starr
198;Erin Moriarty
199;Nathan Fillion
200;Gina Torres
201;Alan Tudyk
202;Morena Baccarin
203;Jon Cryer
204;Ashton Kutcher
205;Angus T. Jones
206;Conchata Ferrell
207;Mamoru Miyano
208;Brad Swaile
209;Vincent Tong
210;Ry Nait
211;Zach Braff
212;Donald Faison
213;John C. McGinley
214;Tom Ellis
215;Lauren German
216;Kevin Alejandro
217;D.B. Woodside
218;Jack Coleman
219;Hayden Panettiere
220;Milo Ventimiglia
221;Masi Oka
222;Anna Paquin
223;Stephen Moyer
224;Sam Trammell
225;Ryan Kwanten
226;Hugh Dancy
227;Mads Mikkelsen
228;Caroline Dhavernas
229;Laurence Fishburne
230;Andy Samberg
231;Stephanie Beatriz
232;Terry Crews
233;Melissa Fumero
234;Andy Whitfield
235;Lucy Lawless
236;Manu Bennett
237;Daniel Feuerriegel
238;Anna Torv
239;Joshua Jackson
240;John Noble
241;Jasika Nicole
242;Joel McHale
243;Danny Pudi
244;Donald Glover
245;Chevy Chase
246;Jonathan Groff
247;Holt McCallany
248;Hannah Gross
249;Eliza Taylor
250;Bob Morley
251;Marie Avgeropoulos
252;Isaiah Washington
253;Amy Poehler
254;Jim OHeir
255;Nick Offerman
256;Chris Pratt
257;Billy West
258;John DiMaggio
259;Tress MacNeille
260;Ben McKenzie
261;Jada Pinkett Smith
262;Donal Logue
263;Camren Bicondova
264;Ginnifer Goodwin
265;Jennifer Morrison
266;Lana Parrilla
267;Robert Carlyle
268;Jon Hamm
269;Elisabeth Moss
270;Vincent Kartheiser
271;January Jones
272;Emmy Rossum
273;William H. Macy
274;Ethan Cutkosky
275;Jeremy Allen White
276;Yki Kaji
277;Marina Inoue
278;Yui Ishikawa
279;Josh Grelle
280;Jodie Whittaker
281;Peter Capaldi
282;Pearl Mackie
283;Matt Smith
284;Clark Gregg
285;Ming-Na Wen
286;Brett Dalton
287;Iain De Caestecker
288;David Duchovny
289;Gillian Anderson
290;Mitch Pileggi
291;William B. Davis
292;James Spader
293;Megan Boone
294;Diego Klattenhoff
295;Ryan Eggold
296;Krysten Ritter
297;Rachael Taylor
298;Eka Darville
299;Carrie-Anne Moss
300;Zooey Deschanel
301;Jake Johnson
302;Max Greenfield
303;Hannah Simone
304;Charlie Day
305;Glenn Howerton
306;Rob McElhenney
307;Kaitlin Olson
308;Laura Linney
309;Sofia Hublitz
310;Skylar Gaertner
311;Jon Bernthal
312;Amber Rose Revah
313;Ben Barnes
314;Jason R. Moore
315;Kyle MacLachlan
316;Michael Ontkean
317;M¤dchen Amick
318;Dana Ashbrook
319;Yvonne Strahovski
320;Joseph Fiennes
321;Ann Dowd
322;Steve Buscemi
323;Kelly Macdonald
324;Michael Shannon
325;Shea Whigham
326;Carlos Bernard
327;Dennis Haysbert
328;Evan Handler
329;Pamela Adlon
330;Tim Kang
331;Owain Yeoman
332;Elizabeth McGovern
333;Brendan Coyle
334;Kevin Chapman
335;Michael Emerson
336;A.J. Cook
337;Joe Mantegna
338;David Casta±eda
339;Emmy Raver-Lampman
340;Ncuti Gatwa
341;Emma Mackey
342;Kevin Dillon
343;Jerry Ferrara
344;Shailene Woodley
345;Zoe Kravitz
346;Polly Walker
347;Kerry Condon
348;Penn Badgley
349;Ed Westwick
350;Danny Masterson
351;Jamie Bamber
352;James Callis
353;Lucy Hale
354;Shay Mitchell
355;Imelda Staunton
356;Steve Oram
357;Christine Bottomley
358;Ambyr Childers
359;Elizabeth Lail
360;Will Yun Lee
361;Dichen Lachman
362;Susan Sullivan
363;Jon Huertas
364;Michaela Conlin
365;T.J. Thyne
366;Tina Desai
367;Tuppence Middleton
368;Amber Nash
369;Matthew Morrison
370;Cory Monteith
371;Katherine Parkinson
372;Matt Berry
373;Alyson Hannigan
374;Anthony Head
375;James Franco
376;Samm Levine
377;Jack Falahee
378;Aja Naomi King
379;Joshua Gomez
380;Vik Sahay
381;Dylan OBrien
382;Linden Ashby
383;Josh Brener
384;Martin Starr
385;Duncan Lacroix
386;Sophie Skelton
387;Vic Mignogna
388;Muriel Hofmann
389;Alfonso Ribeiro
390;Tatyana Ali
391;Michael Smiley
392;Warren Brown
393;Frances Conroy
394;Lauren Ambrose
395;Sean Murray
396;Pauley Perrette
397;Camila Mendes
398;Cole Sprouse
399;Willie Garson
400;Tiffani Thiessen
401;Claire Holt
402;Phoebe Tonkin
403;Justin Berfield
404;Erik Per Sullivan
405;Theo Rossi
406;Alfre Woodard
407;Scott Grimes
408;Rachael MacFarlane
409;Max Mittelman
410;Zach Aguilar
411;Allison Mack
412;Kristin Kreuk
413;Marcia Cross
414;Eva Longoria
415;Jonathan Pryce
416;Oona Chaplin
417;Jameela Jamil
418;DArcy Carden
419;Jessica Stroup
420;Tom Pelphrey
421;Scott McNeil
422;Sean Schemmel
423;Alison Brie
424;Gabriel Mann
425;Nick Wechsler
426;Cliff Curtis
427;Rubn Blades
428;Eva Green
429;Reeve Carney
430;Tracy Morgan
431;Jack McBrayer
432;David Harewood
433;Mehcad Brooks
434;Brendan Hines
435;Monica Raymund
436;Wes Chatham
437;Shohreh Aghdashloo
438;Xolo Maridue±a
439;Courtney Henggeler
440;Silas Weir Mitchell
441;Sasha Roiz
442;James May
443;The Stig
444;Sterling K. Brown
445;Chrissy Metz
446;Kristin Davis
447;Cynthia Nixon
448;John Gallagher Jr.
449;Alison Pill
450;David Faustino
451;J.K. Simmons
452;Jeff Garlin
453;Susie Essman
454;Matilda Ziegler
455;Matthew Ashforde
456;Alexander Gould
457;Kevin Nealon
458;Jonathan Frakes
459;LeVar Burton
460;Olivia Colman
461;Jenny Rainsford
462;Jordan Gavaris
463;Kevin Hanchard
464;Keiko Agena
465;Scott Patterson
466;Aidan Quinn
467;Jon Michael Hill
468;Alexander Koch
469;Colin Ford
470;Mackenzie Crook
471;Lucy Davis
472;Billy Campbell
473;Liam James
474;Max Thieriot
475;Nicola Peltz
476;Matthew Yang King
477;Chris Cox
478;Anthony Rapp
479;Mary Wiseman
480;Amanda Bearse
481;Jaime Pressly
482;Nadine Velazquez
483;Ian McShane
484;Molly Parker
485;John Hawks
486;Paula Malcomson
487;Vincent Franklin
488;Ash Tandon
489;Andrew Buchan
490;Iwan Rheon
491;Lauren Socha
492;Hannah New
493;Zach McGowan
494;Brandon Routh
495;Scott Wilson
496;Alice Krige
497;Garrett Morris
498;Jonathan Kite
499;John Hoogenakker
500;Abbie Cornish
501;Megumi Hayashibara
502;Steve Blum
503;Lee Tergesen
504;Dean Winters
505;Serkan Keskin
506;Osman Sonant
507;Adam LeFevre
508;Jessica Biel
509;Efrem Zimbalist Jr.
510;Bob Hastings
511;Rufus Sewell
512;Rupert Evans
513;Anthony Starr
514;Ivana Milisevich
515;Ryann Shein
516;Lily Simmons
517;Joelle Carter
518;Jacob Pitts
519;Laura Nirider
520;Ken Kratz
521;Hemant Kher
522;Anjali Barot
523;Fiona Shaw
524;Kim Bodnia
525;Ian Hart
526;Arnas Fedaravicius
527;Maxim Knight
528;Will Patton
529;Timothy Omundson
530;Corbin Bernsen
531;Ricky Gervais 
532;Diane Morgan 
533;Mandeep Dhillon 
534;David Earl
535;Andrew Sachs
536;Connie Booth
537;Keidrich Sellati
538;Holly Taylor
539;Kate Higgins
540;Chie Nakamura
541;John Lynch
542;Aisling Franciosi
543;Amanda Tapping
544;Christopher Judge
545;Shawn Ashmore
546;Valorie Curry
547;Rodger Bumpass
548;Clancy Brown
549;Aubrey Plaza
550;Bill Irwin
551;Ice-T
552;Dann Florek
553;Peter Gallagher
554;Kelly Rowan
555;Zak Orth
556;Michael Zegen
557;Marin Hinkle
558;Blake Harrison
559;Joe Thomas
560;Christopher Eccleston
561;Liv Tyler
562;Kenneth Choi
563;Christine Adams
564;Allison Miller
565;Ryan Barger
566;Noel MacNeal
567;Chance Perdomo
568;Italia Ricci
569;Kal Penn
570;Dash Mihok
571;Pooch Hall
572;George Eads
573;Eric Szmanda
574;Tom Kenny
575;Hynden Walch
576;Jerry Stiller
577;Patton Oswalt
578;Brian Krause
579;Rose McGowan
580;Neeraj Kabi
581;Elnaaz Norouzi
582;Kevin Durand
583;Jonathan Hyde
584;Yetide Badaki
585;Bruce Langley
586;Joe Dempsie
587;Hannah Murray
588;Ursula Parker
589;Kristen Schaal
590;Linda Cardellini
591;David Hyde Pierce
592;Peri Gilpin
593;Bradley James
594;Richard Wilson
595;DeForest Kelley
596;Nichelle Nichols
597;Enver Gjokaj
598;Chad Michael Murray
599;Toby Stephens
600;Taylor Russell
601;Eros Vlahos
602;Laura Haddock
603;Walton Goggins
604;Michael Jace
605;Hilarie Burton
606;Bethany Joy Lenz
607;Jay Overholts
608;Vaughn Taylor
609;Laurent Vernin
610;Akemi Okamura
611;Dan Levy
612;Annie Murphy
613;Maggie Siff
614;David Costabile
615;Anthony Brophy
616;James Frain
617;Masako Nozawa
618;Christopher Sabat
619;Josh Charles
620;Matt Czuchry
621;Bruce Campbell
622;Sharon Gless
623;Ruth Negga
624;Ian Colletti
625;Terry Gilliam
626;Eric Idle
627;Samma Ibrahim
628;Razane Jammal
629;Enrico Colantoni
630;Percy Daggs III
631;Katie Lowes
632;Guillermo D­az
633;Greta Lee
634;Elizabeth Ashley
635;Alex OLoughlin 
636;Scott Caan 
637;Grace Park
638;Ian Anthony Dale
639;Anna Diop
640;Ryan Potter
641;Audrey Esparza
642;Ashley Johnson
643;Lena Waithe
644;Nol Wells
645;Eugene Mirman
646;John Roberts
647;Ted Levine
648;Traylor Howard
649;Jemima Kirke
650;Adam Driver
651;Jacob Elordi
652;Maude Apatow
653;Allison Janney
654;John Spencer
655;Joan Chen
656;Remy Hii
657;Dana DeLorenzo
658;Alexis Denisof
659;J. August Richards
660;Brad Garrett
661;Doris Roberts
662;Richard Hammond
