ID Serie;ID Actor
1;1
1;2
1;3
1;4
2;5
2;6
2;7
2;8
3;9
3;10
3;11
3;12
4;13
4;14
4;15
4;16
5;17
5;18
5;19
5;20
6;21
6;22
6;23
6;24
7;25
7;26
7;27
7;28
8;29
8;30
8;31
8;32
9;33
9;34
9;35
9;36
10;37
10;38
10;39
10;40
11;41
11;42
11;43
11;44
12;45
12;46
12;47
12;48
13;49
13;50
13;51
13;52
14;53
14;54
14;55
14;56
15;57
15;58
15;59
15;60
16;61
16;62
16;63
16;64
17;65
17;66
17;67
17;68
18;69
18;70
18;71
18;72
19;73
19;74
19;75
19;76
20;77
20;78
20;79
20;80
21;81
21;82
21;83
21;84
22;85
22;86
22;87
22;88
23;89
23;90
23;91
23;92
24;93
24;94
24;95
24;96
25;97
25;98
25;99
25;100
26;101
26;102
26;103
26;104
27;105
27;106
27;107
27;108
28;109
28;110
28;111
28;112
29;113
29;114
29;115
29;116
30;117
30;22
30;118
30;119
31;120
31;121
31;122
31;123
32;124
32;125
32;126
32;127
33;132
33;133
33;134
33;135
34;136
34;137
34;138
34;139
35;140
35;141
35;142
35;143
36;144
36;145
36;146
36;147
37;97
37;148
37;149
37;150
38;151
38;152
38;153
38;154
39;155
39;156
39;157
39;158
40;159
40;160
40;161
40;162
41;163
41;164
41;165
41;166
42;167
42;168
42;169
42;170
43;171
43;172
43;173
43;174
44;175
44;176
44;177
44;178
45;179
45;180
45;181
45;182
46;183
46;184
46;185
46;186
47;187
47;188
47;189
47;190
48;191
48;192
48;193
48;194
49;195
49;196
49;197
49;198
50;199
50;200
50;201
50;202
51;203
51;204
51;205
51;206
52;207
52;208
52;209
52;210
53;211
53;212
53;84
53;213
54;214
54;215
54;216
54;217
55;218
55;219
55;220
55;221
56;222
56;223
56;224
56;225
57;226
57;227
57;228
57;229
58;230
58;231
58;232
58;233
59;234
59;235
59;236
59;237
60;238
60;239
60;240
60;241
61;242
61;243
61;244
61;245
62;246
62;247
62;238
62;248
63;249
63;250
63;251
63;252
64;253
64;254
64;255
64;256
65;257
65;258
65;176
65;259
66;260
66;261
66;262
66;263
67;264
67;265
67;266
67;267
68;268
68;269
68;270
68;271
69;276
69;277
69;278
69;279
70;284
70;285
70;286
70;287
71;288
71;289
71;290
71;291
72;292
72;293
72;294
72;295
73;296
73;297
73;298
73;299
74;300
74;301
74;302
74;303
75;304
75;305
75;306
75;307
76;171
76;308
76;309
76;310
77;311
77;312
77;313
77;314
78;269
78;319
78;320
78;321
79;322
79;323
79;324
79;325
80;326
80;327
81;328
81;329
82;330
82;331
83;332
83;333
84;334
84;335
85;336
85;337
86;338
86;339
87;340
87;341
88;342
88;343
89;344
89;345
90;346
90;347
91;348
91;349
92;135
92;350
93;353
93;354
94;355
94;283
95;356
95;357
96;358
96;359
97;360
97;361
98;362
98;363
99;364
99;365
100;366
100;367
101;368
101;82
102;369
102;370
103;371
103;372
104;373
104;374
105;375
105;376
106;377
106;378
107;379
107;380
108;381
108;382
109;383
109;384
110;385
110;386
111;387
111;388
112;389
112;390
113;391
113;392
114;393
114;394
115;395
115;396
116;397
116;398
117;399
117;400
118;401
118;402
119;403
119;404
120;405
120;406
121;407
121;408
122;409
122;410
123;411
123;412
124;413
124;414
125;415
125;416
126;417
126;418
127;419
127;420
128;421
128;422
129;423
129;6
130;424
130;425
131;426
131;427
132;428
132;429
133;430
133;431
134;432
134;433
135;434
135;435
136;436
136;437
137;438
137;439
138;440
138;441
139;444
139;445
140;446
140;447
141;448
141;449
142;450
142;451
143;452
143;453
144;454
144;455
145;456
145;457
146;458
146;459
147;460
147;461
148;462
148;463
149;464
149;465
150;466
150;467
151;468
151;469
152;472
152;473
153;474
153;475
154;476
154;477
155;478
155;479
156;176
156;480
157;481
157;482
158;483
158;484
158;485
158;486
159;487
159;488
160;280
160;489
161;490
161;491
162;492
162;493
163;45
163;494
164;495
164;496
165;497
165;498
166;499
166;500
167;501
167;502
168;503
168;504
169;505
169;506
170;507
170;508
171;509
171;510
172;511
172;512
173;513
173;514
173;515
173;516
174;517
174;518
175;519
175;520
176;521
176;522
177;523
177;524
178;525
178;526
179;527
179;528
180;529
180;530
181;531
181;532
181;533
181;534
182;535
182;536
183;537
183;538
184;539
184;540
185;541
185;542
186;543
186;544
187;545
187;546
188;547
188;548
189;549
189;550
190;551
190;552
191;553
191;554
192;149
192;555
193;556
193;557
194;558
194;559
195;560
195;561
196;444
196;562
197;563
197;564
198;565
198;566
199;471
199;567
200;568
200;569
201;570
201;571
202;572
202;573
203;574
203;575
204;576
204;577
205;580
205;581
206;582
206;583
207;584
207;585
208;588
208;329
209;589
209;590
210;591
210;592
211;593
211;594
212;597
212;598
213;601
213;602
214;603
214;604
215;605
215;606
216;539
216;540
217;609
217;610
218;611
218;612
219;613
219;614
220;615
220;616
221;617
221;618
222;619
222;620
223;621
223;622
224;623
224;624
225;625
225;626
226;627
226;628
227;629
227;630
228;631
228;632
229;633
229;634
230;635
230;636
230;637
230;638
231;639
231;640
232;641
232;642
233;643
233;644
234;645
234;646
235;647
235;648
236;649
236;650
237;651
237;652
238;653
238;654
239;655
239;656
240;657
240;235
241;658
241;659
242;660
242;661
243;662
243;663
244;664
244;665
245;666
245;667
246;668
246;669
247;670
247;671
248;668
248;672
249;673
249;674
250;675
250;676
251;677
251;678
252;679
252;680
253;681
253;682
254;683
254;684
255;685
255;407
256;686
256;687
257;688
257;689
258;692
258;693
259;694
259;695
260;696
260;697
261;698
261;699
262;700
262;701
263;702
263;703
264;704
264;705
265;706
265;707
266;708
266;709
267;710
267;589
268;711
268;712
269;713
269;714
270;715
270;716
271;236
271;717
272;718
272;719
273;720
273;721
274;722
274;723
275;724
275;725
276;726
276;460
277;727
277;728
278;729
278;730
279;731
279;732
280;733
280;734
281;737
281;738
282;741
282;742
283;743
283;589
284;744
284;745
285;746
285;747
286;748
286;749
287;750
287;751
288;752
288;753
289;754
289;755
290;756
290;757
291;758
291;759
292;760
292;761
293;762
293;763
294;764
294;765
295;766
295;767
296;768
296;769
297;770
297;771
298;772
298;773
299;774
299;775
300;776
300;777
301;778
301;779
302;780
302;781
303;782
303;69
304;783
304;784
305;785
305;786
306;787
306;788
307;789
307;790
308;791
308;729
309;792
309;793
310;794
310;470
311;795
311;796
312;797
312;258
313;798
313;799
314;800
314;801
315;802
315;803
316;804
316;805
317;806
317;152
318;807
318;808
319;809
319;810
320;811
320;812
321;813
321;814
322;815
322;816
323;817
323;818
324;819
324;820
325;821
325;822
326;823
326;824
327;825
327;826
328;329
328;827
329;828
329;829
330;830
330;831
331;832
331;833
332;834
332;835
333;402
333;836
334;837
334;838
335;839
335;840
336;841
336;842
337;843
337;844
338;845
338;846
339;590
339;847
340;848
340;849
341;850
341;851
342;668
342;852
343;670
343;853
344;854
344;855
345;856
345;857
346;858
346;859
347;860
347;861
348;862
348;863
349;864
349;865
350;866
350;867
351;868
351;869
352;870
352;871
353;872
353;873
354;874
354;875
355;548
355;876
356;877
356;878
357;879
357;419
358;880
358;881
359;882
359;883
360;884
360;885
361;886
361;887
362;890
362;891
363;892
363;893
364;894
364;895
365;69
365;896
366;897
366;898
367;899
367;502
368;900
368;901
369;902
369;903
370;904
370;905
371;906
371;907
372;908
372;909
373;910
373;911
374;912
374;913
375;914
375;125
376;917
376;918
377;919
377;920
378;921
378;922
379;923
379;924
380;925
380;926
381;927
381;928
382;929
382;930
383;931
383;932
384;933
384;934
385;935
385;936
386;937
386;938
387;939
387;940
388;941
388;942
389;447
389;943
390;944
390;945
391;946
391;947
392;821
392;948
393;949
393;950
394;951
394;952
395;953
395;954
396;955
396;956
397;957
397;958
398;959
398;960
399;961
399;962
400;963
400;964
401;965
401;966
402;967
402;968
403;969
403;970
404;971
404;972
405;973
405;574
406;974
406;975
407;976
407;977
408;978
408;979
409;980
409;981
410;982
410;983
411;984
411;985
412;986
412;987
413;988
413;989
414;990
414;991
415;992
415;993
416;994
416;239
417;995
417;996
418;997
418;860
419;1000
419;1001
420;1002
420;1003
421;1004
421;1005
422;1006
422;1007
423;1008
423;1009
424;1010
424;1011
425;1012
425;1013
426;1014
426;1015
427;1018
427;1019
428;1020
428;1021
428;1022
428;1023
429;1024
429;1025
430;1026
430;1027
431;1028
431;1029
432;1030
432;1031
433;1032
433;1033
434;1034
434;1035
435;687
435;1036
436;1037
436;1038
436;1039
436;1040
437;1041
437;1042
438;1043
438;1044
439;1045
439;1046
440;1047
440;1048
441;1049
441;1050
442;1051
442;1052
443;1053
443;712
444;1054
444;1055
445;1056
445;1057
446;1058
446;1059
447;1060
447;1061
448;1062
448;1063
449;1064
449;577
450;713
450;1065
451;1066
451;1067
452;1068
452;1069
453;193
453;574
454;1070
454;1071
455;1072
455;1073
456;1074
456;1011
457;1075
457;1076
458;1077
458;1078
459;1079
459;1080
460;1081
460;1082
461;1083
461;1084
462;1085
462;1086
463;1087
463;1088
464;1089
464;1090
465;1091
465;1092
466;193
466;1093
467;86
467;1094
468;1095
468;1096
469;1097
469;1098
470;1099
470;1100
471;1101
471;1102
472;1103
472;1104
473;1105
473;1106
474;1107
474;70
475;1108
475;1109
476;1110
476;1111
477;1112
477;1113
478;1114
478;1115
479;1116
479;1117
480;1118
480;1119
481;1120
481;1069
482;1121
482;1122
483;1123
483;1124
484;1125
484;1126
485;1127
485;1128
486;1129
486;1130
487;1131
487;1132
488;85
488;1135
489;1136
489;1137
490;111
490;1138
491;1139
491;1140
492;1141
492;1142
493;1145
493;1146
494;737
494;1147
495;1150
495;1151
496;1152
496;1153
497;1154
497;998
498;1155
498;1156
499;1157
499;1158
500;1159
500;1160
501;1161
501;869
502;1162
502;1163
503;1166
503;1167
504;1168
504;1169
505;1170
505;1171
506;1172
506;1173
507;1176
507;1177
508;1178
508;1179
509;1180
509;1181
510;1182
510;1183
511;1184
511;1182
512;877
512;1185
513;1186
513;1187
514;534
514;1188
515;1189
515;1190
516;1191
516;1192
517;1193
517;1194
518;259
518;857
519;1195
519;1196
520;1197
520;1198
521;1199
521;1200
522;1201
522;1202
523;1203
523;1204
524;1205
524;1206
525;1207
525;1208
526;1209
526;384
527;1210
527;1211
528;1212
528;1213
529;883
529;1214
530;1215
530;1216
531;1217
531;1218
532;1219
532;1220
533;1221
533;1222
534;1223
534;1224
535;1225
535;1226
536;1227
536;553
537;1228
537;1229
538;1230
538;1231
539;1232
539;1233
540;1234
540;1235
541;1236
541;1237
542;1238
542;1098
543;1239
543;1240
544;1241
544;1242
545;1243
545;1244
546;1245
546;1246
547;1247
547;1248
548;1249
548;1250
549;1251
549;1252
550;1253
550;1254
551;1255
551;1256
552;1257
552;1258
553;1259
553;1260
554;638
554;1261
555;1262
555;1263
556;1264
556;1265
557;1266
557;1267
558;1268
558;1269
559;1270
559;1271
560;1272
560;1273
561;1274
561;1275
562;1276
562;1277
563;1278
563;1279
564;1280
564;1281
565;898
565;1282
566;1283
566;1284
567;1285
567;1286
568;1287
568;260
569;1288
569;1289
570;1290
570;1291
571;1292
571;1293
572;1294
572;1295
573;1296
573;1297
574;1298
574;1299
575;1302
575;351
576;1303
576;317
577;1304
577;1305
578;508
578;1306
579;1307
579;1308
580;1309
580;1310
581;1311
581;1312
582;1313
582;1314
583;486
583;1315
584;830
584;1316
585;86
585;1317
586;617
586;1318
587;1319
587;1320
588;1321
588;422
589;1322
589;1323
590;1324
590;752
591;1266
591;1325
592;1326
592;1327
592;1328
592;1329
593;1330
593;1331
594;1332
594;1333
595;1334
595;1335
596;1336
596;1337
597;1338
597;1339
598;1340
598;1341
599;1342
599;1343
600;444
600;1344
601;1093
601;756
602;409
602;690
603;1345
603;1346
604;1347
604;1348
605;1349
605;1350
606;1351
606;1352
607;1353
607;1354
608;1355
608;1170
609;1356
609;1357
610;1358
610;1359
611;1360
611;1361
612;1362
612;1363
613;1364
613;1365
614;1366
614;1367
615;1368
615;1369
616;1370
616;1371
617;1372
617;1373
618;1374
618;1375
619;1376
619;1377
620;1378
620;1379
621;1380
621;1381
622;1382
622;1383
623;1384
623;1385
624;1386
624;1387
625;1388
625;1389
626;1390
626;1391
627;1392
627;1393
628;1394
628;816
629;1395
629;1396
630;1397
630;1398
631;1399
631;1400
632;1401
632;1402
633;1009
633;1403
634;1404
634;1405
635;1406
635;1407
636;1408
636;1409
637;1410
637;1411
638;1412
638;1413
639;1414
639;1415
640;1416
640;1417
641;1418
641;1419
642;1420
642;1421
643;1422
643;1423
644;1424
644;1425
645;1426
645;1427
646;1428
646;1429
647;1430
647;563
648;1431
648;1432
649;1433
649;1434
650;1133
650;1435
650;259
650;857
651;1436
651;1437
651;1438
651;1439
652;1440
652;1441
652;1442
652;1443
653;1444
653;1445
653;1446
653;1447
654;1448
654;1449
654;1450
654;1451
655;1452
655;1453
655;1454
655;1455
656;1456
656;603
656;1457
656;1458
657;1459
657;1460
657;1461
657;1462
658;1463
658;1464
658;1465
658;1466
659;1467
659;1468
659;1065
659;1469
660;1470
660;1471
660;1472
660;1473
661;1474
661;1475
